time-lags	RCCS 2 <--> 4	RCCS 2 --> 4	RCCS 4 --> 2	2 --> 4	4 --> 2	SEM 2 --> 4	SEM 4 --> 2	Surrogate2 --> 4	Surrogate4 --> 2	SurrogateSEM 2 --> 4	SurrogateSEM 4 --> 2
-30	8.155010186700788e-08	0.2813397506564364	1.4295681118080596e-07	-0.1496565140221346	0.005348252212130931	0.026506959697350736	0.03683893142119088	0.012298399059317067	0.02954447601415325	0.020243147068975804	0.01858982828505895
-29	0.0002498250444587369	0.07497893321239546	0.001239968367743344	-0.07325484588207248	-0.0491093924832436	0.029877366606726626	0.04187682006018812	0.026399340031045857	0.012360473504830383	0.019790208181510584	0.01882222058668602
-28	5.867207745882073e-09	1.2733441317392652e-06	0.002124834364537912	-0.05663312684334311	-0.15520257049501385	0.023402832156201547	0.029075033970100785	0.040277866035610385	0.011983220300319525	0.022356312388104375	0.018638715356004223
-27	2.9461046107790863e-09	1.4734735830271817e-09	0.9997118230767708	0.19369546777984115	-0.11078567608654386	0.03635512138838392	0.029572892232386325	0.02996472092458058	0.013023364569350817	0.021072039027391673	0.01798145022733868
-26	4.498595431924233e-06	2.2492977271876505e-06	0.9999782893961626	0.2800337807196976	-0.06497206295380416	0.026073777987787396	0.03767423593361716	0.043159784051678425	-0.009284425289869072	0.020883028280887863	0.019146401812823878
-25	0.01736490548270248	0.008760836483327306	0.963700320465546	0.13014732340671992	0.00781597151561205	0.03549555113836785	0.02781784558462198	0.025438311586272033	0.02368381039081289	0.02084232729551019	0.0166979972390295
-24	0.1799711607296027	0.8718451343940754	0.09052883060072085	0.04604551965274115	0.13778917842602642	0.03997577558251797	0.032671615514451434	0.016682666928646183	0.03614588469716445	0.020342356677844814	0.018022067110518725
-23	0.6751737660791803	0.6622959262411131	0.3375914411154816	0.14963991351964717	0.19328311907179163	0.02985984697119783	0.027315113499376188	0.011809852702758462	0.033436841049031	0.020573447402674826	0.018027745680307412
-22	0.5971186757346649	0.6655950617945656	0.307496386741273	0.10056665230044537	0.12506711704903145	0.025309358281869254	0.04331512523809021	0.03419034692811755	0.028058837686890218	0.018652043272643085	0.020790168700203258
-21	0.02280051632351706	0.01145974407124945	0.9522170296426683	0.11914778025631967	0.004325702477400733	0.025278101530971472	0.04577184275742859	0.03060715837197484	0.03630447248117724	0.020568209062209606	0.0195446416599932
-20	2.3676982522493426e-09	1.1840273218063298e-09	0.9998429884960688	0.16774456827754664	-0.17495050169848764	0.028165003618831008	0.042849751730863306	0.027352640337862492	0.01923739886456778	0.020673666853895527	0.016878190612333973
-19	2.238772512541009e-12	1.1193893475257448e-12	0.9999971226820932	0.19226300148258055	-0.1359058907170176	0.027865956743346635	0.028618759262723427	0.01191443557611568	0.03530906532744687	0.018224028803249658	0.01880749504555625
