nan	-4.006690792012517210e-01	1.080648821801770021e+00	2.062699842688795915e+00
nan	-1.531738935757634423e-01	4.577949935198867837e-01	8.348211446647523237e-01
nan	-3.642467801540612005e-01	9.371217783205073593e-01	2.259487057117212760e+00
nan	1.300705085647424930e+00	3.781793196726591644e-01	2.307914691129327345e+00
nan	-9.714147590886623718e-03	1.534607383699399641e+00	1.522010088706075681e+00
nan	1.476040487736804074e+00	2.828112860871226930e-01	3.930671977103106229e-01
nan	3.379755089855764894e-01	-3.870657262094638895e-01	1.411772902013387621e-01
nan	-5.958478670726820026e-01	-4.451418894474110100e-01	-1.849670977237652392e-02
nan	-5.191527770765719252e-01	1.152764953790291980e+00	9.003919484976117271e-01
nan	1.869743125964811625e+00	-3.432233015236151319e-01	7.913632768515777016e-01
nan	-6.450537550474575443e-01	-5.413045124635011973e-01	-4.261230117736600764e-01
nan	-3.294523842049703610e-01	1.508125265888050071e-01	-8.692844560698511636e-01
nan	-4.753569516055277666e-01	3.204092310542672184e-01	2.900557800527327479e-01
nan	3.608372036041057052e-01	-2.858658219867727390e-01	1.595715787892043380e+00
nan	-2.851819117256657599e+00	9.999701624864475169e-02	2.036734042808937772e+00
nan	-8.880198036782593896e-02	-5.621595969438413221e-01	1.068656805572810065e+00
nan	-1.493263402043040422e+00	2.575419968218453093e+00	-3.556811623814801759e-01
nan	-8.400288389425675240e-02	9.940015174006386345e-02	1.670188714840819544e-01
nan	-1.313601385480881456e-01	1.766649352508037563e+00	-5.188949410882800484e-01
nan	-1.952494542146717915e+00	8.175815109720436791e-01	-1.059853863825183762e+00
nan	1.018301516764102965e-01	2.363710759777818970e-01	-7.894715118936393994e-01
nan	5.538573790045103751e-01	7.785917357521665583e-01	-1.297850295337575344e-01
nan	-6.439412304446421320e-01	5.434580082363745790e-01	-5.019454963426941974e-02
nan	-1.388110339506489099e+00	-1.136215094036825635e+00	-2.351033479557188832e-01
nan	-1.363753602784395502e+00	-2.351210715092828529e+00	1.001091117898791905e-01
nan	-5.931295330330481619e-01	-1.304394900072337604e+00	7.968173964430302902e-02
nan	6.502250565691318762e-01	-1.837306056075423522e+00	3.373297422416338676e-01
nan	-4.187566950049049219e-01	-3.027069386402932438e-01	-8.874085828487496830e-01
nan	-2.083279632158486216e-01	2.186750729432591633e-01	3.645255292078164455e-01
nan	-1.852334948021207683e+00	2.312604287463475572e+00	1.021120053360392133e+00
nan	-5.783169929200926429e-02	-9.553407837031903105e-01	9.022151621125844567e-01
nan	-4.445075419241730774e-01	-1.668104876353412314e+00	-1.984846228021470482e+00
nan	-1.219838215340459220e+00	-1.537566144432520820e+00	-8.530831326132959358e-01
nan	-4.346393758612875913e-01	-1.012851355176407120e+00	-7.771648826949906219e-01
nan	-2.323722811389143383e-01	4.931124185832772566e-01	-1.879531497512479055e+00
nan	-1.850610214900663797e+00	1.521323908126047952e-01	-1.373599474889906302e+00
nan	-2.384102717330431886e-01	1.326026282032641834e-01	-1.063544781415724394e+00
nan	5.825879508583005351e-02	3.326606861161270912e-01	4.061449522488670971e-01
nan	1.195207733292289465e+00	1.276301992917552308e+00	6.378813743178396445e-01
nan	1.768936308153156833e+00	2.102136785607244374e+00	-8.512210985517182360e-01
nan	8.686094285924537139e-01	1.963779413613897074e+00	8.371805066915799509e-01
nan	-8.220048741998079445e-01	7.762305538631355528e-01	6.453967439754260127e-01
nan	5.355225092064062054e-01	-8.063597995325257894e-01	-4.356665488401417763e-02
nan	5.788289675759199504e-01	-6.257329149933524293e-02	-2.453424323227460846e+00
nan	-4.977401422347904614e-02	7.159507663556351487e-01	-7.993610428036888038e-01
nan	-1.265844156544153387e+00	7.331129269379305091e-01	-5.142873677507574237e-02
nan	6.979686715760103910e-01	1.556818561742628226e+00	1.257220743998818335e+00
nan	2.704824790820239855e+00	8.204550340049945323e-01	1.721723997739725842e+00
nan	2.195925527884916573e-01	3.454977497855491020e+00	9.889564681474605212e-01
nan	2.110640026986474904e+00	6.005179086274928801e-01	1.719740424264168066e+00
nan	-3.973981343860387705e-01	1.588064898744442566e+00	2.788556070442447687e+00
nan	1.021886644088528806e-01	1.154963014832171841e-01	1.359679997979485577e+00
